DataZone,InterZone,MMWard,ROAL,SPConst,UKPConst,CHP,Council,ROAC,HB,CTRY
S01000001,S02000003,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000002,S02000001,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000003,S02000001,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000004,S02000001,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000005,S02000003,S13002484,S06000003,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000006,S02000003,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000007,S02000003,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000008,S02000003,S13002484,S06000003,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000009,S02000001,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000010,S02000001,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000011,S02000007,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000012,S02000002,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000013,S02000003,S13002484,S06000003,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000014,S02000005,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000015,S02000005,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000016,S02000007,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000017,S02000005,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000018,S02000005,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000019,S02000007,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000020,S02000004,S13002484,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000021,S02000002,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000022,S02000004,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000023,S02000007,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000024,S02000003,S13002484,S06000003,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000025,S02000004,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000026,S02000006,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000027,S02000004,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000028,S02000002,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000029,S02000004,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000030,S02000002,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000031,S02000004,S13002484,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000032,S02000002,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000033,S02000006,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000034,S02000004,S13002484,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000035,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000036,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000037,S02000005,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000038,S02000006,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000039,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000040,S02000006,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000041,S02000006,S13002488,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000042,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000043,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000044,S02000008,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000045,S02000009,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000046,S02000009,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000047,S02000010,S13002486,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000048,S02000009,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000049,S02000009,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000050,S02000011,S13002486,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000051,S02000013,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000052,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000053,S02000010,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000054,S02000009,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000055,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000056,S02000007,S13002484,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000057,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000058,S02000011,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000059,S02000010,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000060,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000061,S02000013,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000062,S02000011,S13002486,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000063,S02000011,S13002486,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000064,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000065,S02000010,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000066,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000067,S02000013,S13002486,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000068,S02000010,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000069,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000070,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000071,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000072,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000073,S02000013,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000074,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000075,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000076,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000077,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000078,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000079,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000080,S02000011,S13002486,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000081,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000082,S02000015,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000083,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000084,S02000012,S13002487,S06000006,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000085,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000086,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000087,S02000013,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000088,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000089,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000090,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000091,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000092,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
