"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000833",-0.65,-1.02241007032987,-0.292269162403985,0.327515335204567,0.121954960343301,"Clackmannanshire"
"S01000834",-0.16,-0.266761077020393,-0.470798861152113,-0.317487517450826,-0.992975651040131,"Clackmannanshire"
"S01000835",0.61,0.306395844595073,-0.306507037503098,0.348943248730429,-0.365871107740669,"Clackmannanshire"
"S01000836",1.17,0.861837880140092,-0.180314502414117,0.207749561511491,-0.799268872609331,"Clackmannanshire"
"S01000837",1.58,1.44177468169386,0.968843051162136,0.70197804148416,0.247953192497876,"Clackmannanshire"
"S01000838",-0.61,-0.685515096441967,-0.697674485192647,-0.591568482414561,-0.305360268370422,"Clackmannanshire"
"S01000839",-0.24,-0.699032909083734,0.247062693673357,-0.150016858938687,-1.09122808146694,"Clackmannanshire"
"S01000840",0.19,0.393097491326524,-0.530610088227021,-0.694216565817968,-0.377650464931414,"Clackmannanshire"
"S01000841",0.93,0.943896300754662,-0.538235104011238,-0.379411401514413,-0.600634340055253,"Clackmannanshire"
"S01000842",-1.13,-1.20516132058707,-0.46601267529529,-0.803693940369411,-1.03097414280621,"Clackmannanshire"
"S01000843",0.12,-0.455738751559698,0.22395612870616,-0.169404022284972,-0.687967619414145,"Clackmannanshire"
"S01000844",0.44,0.0288998592203104,0.811400910836347,0.186979963644108,-0.961468882209869,"Clackmannanshire"
"S01000845",-0.41,-0.687753997486746,-0.128887430012879,-0.547013178400437,-0.558448732398828,"Clackmannanshire"
"S01000846",1.2,1.0961415252417,0.0380431880637191,-0.0979874454463232,-0.708779073881613,"Clackmannanshire"
"S01000847",0.44,0.51381363741595,0.587944994088504,0.1806921686856,-0.583664749289344,"Clackmannanshire"
"S01000848",-1.09,-0.942418349679628,-0.737792619537525,-0.591122433764809,-0.552019648450758,"Clackmannanshire"
"S01000849",-0.47,-0.590170279765746,-0.445978820598508,-0.829768239066563,-0.654236225116639,"Clackmannanshire"
"S01000850",0.6,0.860767036316326,-0.31335966484518,0.473832118121501,-0.789450471166259,"Clackmannanshire"
"S01000851",-0.98,-0.937017441264249,-0.277016960377806,-0.762175531405766,-0.601094775740889,"Clackmannanshire"
"S01000852",-0.27,-0.25083720448683,-0.550117387772776,-0.416969967533432,0.105688654649292,"Clackmannanshire"
