,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S92000003,4283213,1934819,474601,1151928,35243,115487,264122,307013
S01000001,731,340,108,184,10,13,34,42
S01000002,491,290,82,73,4,13,22,7
S01000003,665,324,118,172,4,16,21,10
S01000004,493,278,78,95,4,11,16,11
S01000005,552,204,108,136,12,14,57,21
S01000006,482,240,52,117,3,5,23,42
S01000007,631,396,40,119,2,6,22,46
S01000008,479,246,44,98,7,4,35,45
S01000009,574,294,64,126,5,10,32,43
S01000010,469,264,56,90,3,5,25,26
S01000011,719,516,24,119,2,9,19,30
S01000012,1161,706,162,187,14,17,30,45
S01000013,696,356,82,151,5,15,30,57
S01000014,744,388,98,164,5,11,40,38
S01000015,549,282,90,128,1,11,25,12
S01000016,395,228,42,88,-,4,11,22
S01000017,738,392,88,150,4,15,37,52
S01000018,428,226,66,88,-,8,22,18
S01000019,449,266,42,73,5,5,20,38
S01000020,584,300,54,125,11,13,25,56
S01000021,741,366,90,180,13,12,28,52
S01000022,514,354,22,88,6,4,15,25
S01000023,569,392,34,94,4,5,15,25
S01000024,346,258,14,47,1,5,13,8
S01000025,618,436,18,111,10,8,23,12
S01000026,675,256,104,163,4,20,55,73
S01000027,650,422,18,119,4,12,32,43
S01000028,772,324,94,205,5,25,47,72
S01000029,505,354,36,86,1,7,10,11
S01000030,386,152,46,95,4,7,33,49
S01000031,766,416,60,151,7,15,39,78
S01000032,886,374,118,216,9,21,57,91
S01000033,658,214,92,182,4,18,66,82
S01000034,950,666,52,147,7,15,22,41
S01000035,823,316,84,288,15,9,51,60
S01000036,550,210,68,173,3,14,36,46
S01000037,610,214,94,183,12,14,50,43
S01000038,587,290,64,146,1,12,31,43
S01000039,784,256,89,271,8,17,66,77
S01000040,767,338,108,202,1,13,47,58
S01000041,719,366,56,167,6,11,45,68
S01000042,664,212,66,248,6,24,53,55
S01000043,787,226,90,308,18,24,59,62
S01000044,807,262,82,305,20,12,71,55
S01000045,480,292,50,77,1,8,17,35
S01000046,638,422,24,104,1,9,23,55
S01000047,749,194,104,278,12,23,77,61
S01000048,825,468,80,183,10,9,33,42
S01000049,592,320,78,103,3,14,27,47
S01000050,603,306,50,146,7,6,23,65
S01000051,678,434,46,114,3,4,22,55
S01000052,489,178,64,153,3,14,44,33
S01000053,936,344,128,274,19,22,63,86
S01000054,680,374,62,106,5,3,30,100
S01000055,571,192,84,188,6,19,50,32
S01000056,808,488,62,153,8,7,42,48
S01000057,529,188,68,174,5,16,45,33
S01000058,579,338,52,127,5,4,26,27
S01000059,805,414,108,202,22,8,24,27
S01000060,465,122,70,179,6,20,48,20
S01000061,873,510,74,159,5,17,38,70
S01000062,912,304,194,305,17,16,48,28
S01000063,729,404,102,147,9,12,24,31
S01000064,547,236,60,157,14,19,28,33
S01000065,899,288,147,332,15,25,60,32
S01000066,739,202,118,293,24,14,64,24
S01000067,935,438,88,210,14,23,66,96
S01000068,709,340,78,158,17,6,37,73
S01000069,614,174,124,195,6,15,52,48
S01000070,522,230,64,134,11,12,44,27
S01000071,658,180,140,210,13,17,71,27
S01000072,769,382,67,168,7,16,30,99
S01000073,522,316,38,115,5,1,12,35
S01000074,641,198,134,178,9,23,61,38
S01000075,508,126,84,195,11,6,38,48
S01000076,618,420,34,94,1,8,11,50
S01000077,729,348,102,197,11,16,30,25
S01000078,978,216,220,378,37,28,80,19
S01000079,1288,328,286,554,23,23,48,26
S01000080,918,244,208,348,11,19,55,33
S01000081,745,410,70,168,13,5,29,50
S01000082,776,240,130,245,4,23,74,60
S01000083,630,286,82,191,11,13,27,20
S01000084,757,172,135,305,22,30,67,26
S01000085,494,46,140,247,9,12,31,9
S01000086,595,212,122,204,10,11,20,16
S01000087,879,436,100,212,37,30,31,33
S01000088,834,192,160,380,20,18,47,17
S01000089,783,520,64,115,7,9,16,52
S01000090,682,252,118,238,9,7,37,21
S01000091,961,206,188,476,11,14,47,19
