,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S92000003,"2,372,777","660,643","800,175","10,168","312,745","263,674","263,459","31,433","30,480"
S01000001,424,129,167,1,35,7,60,20,5
S01000002,265,41,205,-,3,1,12,1,2
S01000003,337,71,226,2,7,1,26,1,3
S01000004,259,63,171,1,2,-,20,-,2
S01000005,340,84,190,6,19,-,36,2,3
S01000006,256,91,78,1,57,1,20,4,4
S01000007,315,152,110,-,19,16,14,1,3
S01000008,274,63,120,9,61,1,17,1,2
S01000009,297,109,140,6,31,3,7,1,-
S01000010,246,105,126,-,2,-,7,1,5
S01000011,339,147,138,1,7,-,37,4,5
S01000012,554,181,312,-,8,13,27,5,8
S01000013,364,134,121,-,87,3,12,2,5
S01000014,372,130,194,1,28,1,11,-,7
S01000015,292,48,203,11,1,4,21,3,1
S01000016,185,102,51,-,3,1,8,7,13
S01000017,390,117,192,2,47,3,20,3,6
S01000018,235,70,141,1,17,1,5,-,-
S01000019,230,120,88,1,2,-,13,4,2
S01000020,314,162,85,-,9,2,39,6,11
S01000021,373,116,179,1,59,2,10,3,3
S01000022,247,154,72,-,1,-,17,1,2
S01000023,271,129,103,1,6,1,30,-,1
S01000024,170,69,74,-,3,1,16,3,4
S01000025,281,151,110,-,2,-,10,1,7
S01000026,385,87,105,2,165,1,18,3,4
S01000027,339,168,115,-,22,2,21,7,4
S01000028,425,108,135,-,159,-,16,3,4
S01000029,222,84,90,-,1,-,45,2,-
S01000030,212,71,52,1,78,1,6,3,-
S01000031,427,215,145,-,9,-,48,6,4
S01000032,490,141,152,1,160,3,14,7,12
S01000033,409,69,118,5,195,1,12,5,4
S01000034,461,204,193,-,5,-,54,2,3
S01000035,433,116,109,-,67,53,79,7,2
S01000036,286,62,58,-,49,73,31,6,7
S01000037,359,88,123,2,48,54,37,4,3
S01000038,291,100,110,2,64,-,8,4,3
S01000039,439,70,104,5,150,45,45,17,3
S01000040,385,115,145,-,105,3,10,2,5
S01000041,390,165,125,-,70,-,15,7,8
S01000042,356,77,84,1,56,78,44,11,5
S01000043,496,85,114,11,51,61,152,9,13
S01000044,429,72,83,-,165,37,60,8,4
S01000045,240,132,98,-,3,-,6,-,1
S01000046,341,199,114,-,7,-,13,1,7
S01000047,499,101,133,7,126,4,104,15,9
S01000048,451,177,181,-,5,2,67,7,12
S01000049,330,172,122,-,4,3,23,3,3
S01000050,337,138,112,1,6,4,35,37,4
S01000051,363,211,133,1,4,-,8,4,2
S01000052,256,46,64,-,129,4,4,3,6
S01000053,587,136,185,-,112,10,121,15,8
S01000054,392,163,137,-,30,42,17,2,1
S01000055,315,46,54,4,178,18,12,2,1
S01000056,403,204,140,-,27,-,27,-,5
S01000057,288,33,47,2,173,14,14,4,1
S01000058,305,138,138,1,1,1,20,3,3
S01000059,435,154,167,2,2,1,96,3,10
S01000060,291,10,30,2,221,18,9,1,-
S01000061,496,274,142,1,5,2,59,4,9
S01000062,564,130,245,-,12,3,157,13,4
S01000063,398,163,164,-,5,1,52,6,7
S01000064,288,71,95,-,65,7,36,7,7
S01000065,572,154,203,-,16,77,103,11,8
S01000066,481,86,136,1,75,34,138,7,4
S01000067,586,271,180,3,36,3,78,6,9
S01000068,414,180,146,1,4,-,64,10,9
S01000069,377,63,74,-,198,3,31,2,6
S01000070,289,63,65,-,136,3,17,3,2
S01000071,423,45,64,-,254,18,32,4,6
S01000072,442,156,118,1,130,1,27,6,3
S01000073,262,149,95,1,-,-,14,-,3
S01000074,386,20,23,3,322,2,14,2,-
S01000075,345,70,84,21,5,53,101,3,8
S01000076,312,193,102,-,2,-,10,1,4
S01000077,399,138,157,1,2,2,85,5,9
S01000078,635,50,160,2,110,43,259,9,2
S01000079,785,141,322,3,6,3,287,15,8
S01000080,589,126,224,-,21,4,183,21,10
S01000081,402,194,152,-,4,-,40,5,7
S01000082,493,79,112,2,230,12,51,1,6
S01000083,366,93,151,2,4,2,90,13,11
S01000084,511,65,135,-,52,111,127,11,10
S01000085,352,47,124,-,15,4,146,9,7
S01000086,359,77,125,-,16,4,131,3,3
S01000087,507,161,186,1,4,6,128,12,9
S01000088,555,93,170,12,10,22,198,35,15
S01000089,389,235,123,-,1,-,20,1,9
S01000090,430,108,149,1,10,2,144,5,11
S01000091,633,102,213,6,41,8,227,17,19
S01000092,599,83,180,3,13,2,281,27,10
S01000093,367,44,120,45,1,19,121,11,6
S01000094,404,34,137,7,13,1,184,19,9
S01000095,422,95,153,2,11,-,137,12,12
S01000096,392,94,73,-,189,3,21,5,7
S01000097,427,165,150,1,6,2,85,2,16
S01000098,697,59,168,6,16,103,317,23,5
S01000099,366,198,108,-,6,2,42,4,6
S01000100,466,54,112,6,6,49,222,8,9
S01000101,427,126,162,1,9,9,96,12,12
S01000102,465,77,71,1,156,3,135,11,11
S01000103,354,50,117,1,14,1,143,23,5
S01000104,374,180,138,-,4,-,48,3,1
S01000105,417,177,176,-,7,2,46,3,6
S01000106,290,115,115,-,4,-,50,3,3
S01000107,705,43,140,2,96,52,337,31,4
S01000108,413,68,87,1,82,47,104,15,9
S01000109,650,81,121,-,104,96,225,16,7
S01000110,407,159,108,-,34,82,12,4,8
S01000111,371,115,131,1,8,-,101,7,8
S01000112,578,93,151,7,110,55,142,15,5
S01000113,272,97,97,-,4,12,59,1,2
S01000114,374,56,123,1,115,28,42,7,2
S01000115,399,80,106,-,176,7,22,4,4
S01000116,575,81,194,3,15,2,256,16,8
S01000117,432,163,163,3,3,37,50,7,6
S01000118,330,108,120,2,64,6,20,7,3
S01000119,552,53,135,7,145,16,171,20,5
S01000120,311,73,89,-,19,17,107,3,3
S01000121,334,130,98,-,38,39,18,9,2
S01000122,338,48,88,-,128,52,19,1,2
S01000123,265,113,104,2,15,1,20,3,7
S01000124,565,69,159,11,66,49,191,15,5
S01000125,341,54,27,6,144,17,83,5,5
S01000126,592,46,104,2,185,62,162,19,12
S01000127,323,157,126,-,4,1,31,3,1
S01000128,651,47,118,12,79,106,244,29,16
S01000129,340,27,46,14,73,11,148,14,7
S01000130,880,82,237,8,142,25,329,43,14
S01000131,354,123,124,-,2,-,92,8,5
S01000132,437,110,143,-,14,4,132,18,16
S01000133,376,70,96,2,98,88,18,2,2
S01000134,321,54,86,-,165,3,8,2,3
S01000135,393,39,26,2,253,19,46,5,3
S01000136,301,57,94,1,73,61,11,3,1
S01000137,524,51,143,5,29,87,185,19,5
S01000138,492,49,118,9,68,30,177,22,19
S01000139,364,84,116,-,139,5,13,2,5
S01000140,415,97,140,1,97,69,5,2,4
S01000141,366,146,121,-,23,2,37,28,9
S01000142,311,57,65,-,168,3,14,2,2
S01000143,245,119,81,29,4,-,11,-,1
S01000144,419,47,110,2,12,19,195,27,7
S01000145,464,73,133,-,227,11,12,6,2
S01000146,950,71,198,6,47,231,337,43,17
S01000147,602,53,145,23,98,29,206,37,11
S01000148,301,42,63,-,183,3,6,3,1
S01000149,690,53,152,6,133,47,263,24,12
S01000150,272,48,92,-,85,32,8,2,5
S01000151,480,54,66,2,324,19,10,1,4
S01000152,630,137,201,9,14,52,181,24,12
S01000153,553,34,128,10,105,32,198,23,23
S01000154,250,76,93,1,69,1,5,1,4
S01000155,364,93,89,2,155,9,7,3,6
S01000156,525,36,82,3,183,21,170,19,11
S01000157,409,48,62,-,249,2,45,1,2
S01000158,435,100,105,-,186,6,28,3,7
S01000159,352,88,214,6,4,1,30,3,6
S01000160,332,107,124,-,85,5,5,5,1
S01000161,401,102,120,7,13,2,123,26,8
S01000162,431,121,97,1,147,3,52,5,5
