DataZone2001,simd2012score,simd2012rank,simd2012_sc_quintile,simd2012_sc_decile,simd2012_hb2006_quintile,simd2012_hb2006_decile,simd2012_hb2014_quintile,simd2012_hb2014_decile,simd2012_ca_quintile,simd2012_ca_decile,simd2012_chp2007_quintile,simd2012_chp2007_decile,simd2012_chp2011_quintile,simd2012_chp2011_decile,simd2012_chp2011sub_quintile,simd2012_chp2011sub_decile,simd2012_chp2012_quintile,simd2012_chp2012_decile,simd2012tp15,simd2012bt15,simd2012_inc_rate,simd2012_inc_dep_N,simd2012_inc_rank,simd2012_emp_rate,simd2012_emp_dep_N,simd2012_emp_rank,simd2012_hlth_score,simd2012_hlth_rank,simd2012_educ_score,simd2012_educ_rank,simd2012_house_score,simd2012_house_rank,simd2012_access_score,simd2012_access_rank,simd2012_crime_score,simd2012_crime_rank,total_pop_2010
S01000001,10.04365545,4726,4,8,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,8,75,4102,7,45,4518,-0.101463321,3490,-0.601785235,4795,13.4751773,3929,14.94728229,3420,144,4839,914
S01000002,3.824864567,6214,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,1,5,6489,3,15,6106,-0.928844561,5554,-0.83740894,5360,5.094614265,5880,24.35986364,2151, ,6486.5,662
S01000003,3.730585995,6238,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,15,6284,2,10,6340,-0.778487573,5267,-0.765318313,5211,10.38186158,4784,17.39207732,3036,128,5066,795
S01000004,4.404421545,6068,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,0,5,6494,2,10,6403,-1.170877634,5942,-0.78591362,5255,5.772230889,5755,32.16567121,1462,122,5133,621
S01000005,5.218358227,5883,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,5,30,5308,4,15,5918,-0.588107131,4812,-0.93159679,5558,8.898944193,5149,14.86349388,3431,185,4331,605
S01000006,9.639341163,4812,4,8,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,9,55,4018,8,30,4030,-0.385356376,4280,-0.386938182,4239,13.49072513,3924,4.054296159,5577,140,4886,643
S01000007,4.031728533,6171,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,4,30,5564,4,15,5706,-0.429824482,4400,-1.271075261,6006,3.012048193,6260.5,6.07353497,5160,108,5355,809
S01000008,10.77024744,4548,4,7,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,8,45,4227,9,30,3978,-0.216218626,3779,-0.346584653,4135,15.75342466,3280,11.95195858,3950,178,4409,553
S01000009,8.0885662,5159,4,8,4,7,4,7,3,6,3,6,3,6,3,6,3,6,0,0,7,45,4496,5,20,5192,-0.605643498,4859,-0.467005419,4459,13.17280453,4013,19.57739381,2725,101,5425,660
S01000010,4.329144166,6092,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,3,20,5774,4,20,5750,-1.14408739,5907,-0.634573479,4898,9.85915493,4916,12.51104221,3855,161,4625,544
S01000011,4.716995455,6002,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,1,10,6476,1,5,6494,-0.227476063,3808,-1.745576536,6384,3.762827822,6142,29.75416917,1623,61,5968,1075
S01000012,6.752840642,5491,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,0,3,45,5934,3,25,6255,-0.436499142,4421,-0.75935015,5196,5.504587156,5802,36.39956718,1201,209,4022,1406
S01000013,10.16095409,4702,4,8,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,8,60,4303,6,25,5046,-0.203103766,3743,-0.676421843,5006,14.14253898,3715,29.05326245,1679,154,4719,794
S01000014,7.600719318,5274,5,9,4,7,4,7,3,6,3,6,3,6,3,6,3,6,0,0,3,30,5982,5,30,5522,-0.260051496,3921,-0.238578189,3835,12.40478781,4224,25.88266374,1987,82,5663,933
S01000015,3.831392686,6210,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6401,3,15,6231,-0.518734242,4636,-0.580193967,4734,15.57251908,3330,10.86892755,4155,81,5677,677
S01000016,4.074393072,6162,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,1,5,6468,1,5,6495,-2.060505368,6487,-1.320194606,6065,8.392857143,5267,36.30246649,1207,140,4887,696
S01000017,9.668155201,4808,4,8,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,6,55,4715,6,35,4930,0.11771799,2881,-0.389129794,4249,10.88580576,4641,13.30056205,3721,245,3647,840
S01000018,9.223077725,4908,4,8,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,3,15,5979,8,25,4261,-0.194712884,3724,0.206121533,2686,14.03812825,3744,11.52469595,4031,108,5345,499
S01000019,5.070660447,5918,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,3,20,5908,3,10,6270,-0.467982024,4499,-1.745464315,6383,1.870748299,6401,31.2487105,1524, ,6138,693
S01000020,13.09079941,4026,4,7,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,10,105,3520,11,70,3141,-0.53856993,4684,-0.90156015,5500,9.316770186,5052,29.23846444,1662,85,5634,1004
S01000021,13.29496,3982,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,60,4414,9,50,3897,0.143160629,2818,0.059246384,3042,13.92111369,3788,20.54761966,2609,181,4369,846
