"Datazone2001","SFI_decilesnum"
"S01000001",7
"S01000002",2
"S01000003",5
"S01000004",2
"S01000005",8
"S01000006",5
"S01000007",1
"S01000008",5
"S01000009",3
"S01000010",1
"S01000011",3
"S01000012",2
"S01000013",3
"S01000014",3
"S01000015",3
"S01000016",4
"S01000017",3
"S01000018",2
"S01000019",3
"S01000020",7
"S01000021",3
"S01000022",1
"S01000023",1
"S01000024",1
"S01000025",1
"S01000026",7
"S01000027",2
"S01000028",6
"S01000029",4
"S01000030",6
"S01000031",6
"S01000032",5
"S01000033",8
"S01000034",2
"S01000035",9
"S01000036",8
"S01000037",8
"S01000038",4
"S01000039",9
"S01000040",4
"S01000041",4
"S01000042",9
"S01000043",10
"S01000044",9
"S01000045",1
"S01000046",1
"S01000047",10
"S01000048",5
"S01000049",3
"S01000050",7
"S01000051",1
"S01000052",6
"S01000053",9
"S01000054",4
"S01000055",8
"S01000056",2
"S01000057",7
"S01000058",3
"S01000059",8
"S01000060",8
"S01000061",4
"S01000062",10
"S01000063",5
"S01000064",8
"S01000065",9
"S01000066",10
"S01000067",7
"S01000068",7
"S01000069",9
"S01000070",5
"S01000071",8
"S01000072",5
"S01000073",2
"S01000074",7
"S01000075",10
"S01000076",1
"S01000077",8
"S01000078",10
"S01000079",10
"S01000080",10
"S01000081",4
"S01000082",8
"S01000083",9
"S01000084",10
"S01000085",10
"S01000086",10
"S01000087",9
"S01000088",10
"S01000089",1
"S01000090",10
"S01000091",10
"S01000092",10
"S01000093",10
"S01000094",10
"S01000095",10
"S01000096",7
"S01000097",7
"S01000098",10
"S01000099",3
"S01000100",10
"S01000101",9
"S01000102",10
"S01000103",10
"S01000104",4
"S01000105",6
"S01000106",6
"S01000107",10
"S01000108",10
"S01000109",10
"S01000110",3
"S01000111",9
"S01000112",10
"S01000113",8
"S01000114",9
"S01000115",6
"S01000116",10
"S01000117",7
"S01000118",4
"S01000119",10
"S01000120",10
"S01000121",4
"S01000122",7
"S01000123",3
"S01000124",10
"S01000125",10
"S01000126",10
"S01000127",4
"S01000128",10
"S01000129",10
"S01000130",10
"S01000131",9
"S01000132",10
"S01000133",8
"S01000134",6
"S01000135",10
"S01000136",7
"S01000137",10
"S01000138",10
"S01000139",4
"S01000140",3
"S01000141",6
"S01000142",7
"S01000143",1
"S01000144",10
"S01000145",7
"S01000146",10
"S01000147",10
"S01000148",7
"S01000149",10
"S01000150",5
"S01000151",6
"S01000152",10
"S01000153",10
"S01000154",3
"S01000155",6
"S01000156",10
"S01000157",9
"S01000158",7
"S01000159",3
"S01000160",3
"S01000161",10
"S01000162",8
"S01000163",4
"S01000164",10
"S01000165",10
"S01000166",10
"S01000167",4
"S01000168",5
"S01000169",5
"S01000170",10
"S01000171",2
"S01000172",8
"S01000173",8
"S01000174",1
"S01000175",10
"S01000176",10
"S01000177",9
"S01000178",5
"S01000179",9
"S01000180",5
"S01000181",5
"S01000182",4
"S01000183",10
"S01000184",8
"S01000185",10
"S01000186",6
"S01000187",5
"S01000188",10
"S01000189",6
