Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,,,,,,Lived elsewhere one year ago; within the same council area (not the same Data Zone),Lived elsewhere one year ago; in another council area within Scotland,Lived elsewhere one year ago; in the rest of the UK,Lived elsewhere one year ago; outside the UK,Moved within the same council area (not the same Data Zone),Moved to another council area within Scotland
Scotland,All people,"5,295,403","58,715","4,644,795","29,428","339,952","119,913","41,506","61,094","339,952","119,913"
,0 to 15,"916,331","58,715","761,990","6,675","62,901","14,673","4,958","6,419","62,901","14,673"
,16 to 19,"268,548",0,"215,517","1,848","25,582","16,108","4,736","4,757","25,582","16,108"
,20 to 24,"363,940",0,"243,096","4,517","66,261","22,784","8,000","19,282","66,261","22,784"
,25 to 34,"667,327",0,"517,695","6,212","83,943","30,733","10,182","18,562","83,943","30,733"
,35 to 49,"1,145,683",0,"1,045,569","5,514","59,151","20,416","7,343","7,690","59,151","20,416"
,50 to 64,"1,043,240",0,"998,950","2,727","24,197","9,763","4,293","3,310","24,197","9,763"
,65 to 74,"481,792",0,"468,904",980,"7,387","2,648","1,146",727,"7,387","2,648"
,75 and over,"408,542",0,"393,074",955,"10,530","2,788",848,347,"10,530","2,788"
S01000001,All people,872,13,742,0,66,33,8,10,45,37
,0 to 15,123,13,96,0,9,3,2,0,6,9
,16 to 19,31,0,28,0,2,1,0,0,0,4
,20 to 24,48,0,33,0,8,4,0,3,6,4
,25 to 34,152,0,105,0,25,14,4,4,17,11
,35 to 49,213,0,182,0,19,8,2,2,11,5
,50 to 64,181,0,178,0,2,1,0,0,5,3
,65 to 74,67,0,63,0,1,2,0,1,0,0
,75 and over,57,0,57,0,0,0,0,0,0,1
S01000002,All people,678,14,608,0,35,9,6,6,31,16
,0 to 15,187,14,162,0,6,2,1,2,8,3
,16 to 19,19,0,15,0,2,2,0,0,1,1
,20 to 24,14,0,11,0,2,0,1,0,3,1
,25 to 34,121,0,101,0,14,2,2,2,9,3
,35 to 49,228,0,213,0,9,2,2,2,10,6
,50 to 64,87,0,85,0,1,1,0,0,0,2
,65 to 74,15,0,14,0,1,0,0,0,0,0
,75 and over,7,0,7,0,0,0,0,0,0,0
S01000003,All people,788,10,687,5,53,24,1,8,42,21
,0 to 15,123,10,102,0,7,2,0,2,4,3
,16 to 19,46,0,43,0,0,3,0,0,2,1
,20 to 24,66,0,50,1,7,8,0,0,11,3
,25 to 34,162,0,126,2,21,8,0,5,14,7
,35 to 49,200,0,186,0,12,1,1,0,9,4
,50 to 64,156,0,145,2,6,2,0,1,2,3
,65 to 74,25,0,25,0,0,0,0,0,0,0
,75 and over,10,0,10,0,0,0,0,0,0,0
S01000004,All people,612,10,557,0,26,10,3,6,23,20
,0 to 15,119,10,105,0,2,0,0,2,3,3
,16 to 19,26,0,24,0,0,1,1,0,0,0
,20 to 24,47,0,39,0,5,3,0,0,3,1
,25 to 34,80,0,64,0,11,2,0,3,10,9
,35 to 49,182,0,172,0,6,3,1,0,3,6
,50 to 64,111,0,108,0,0,1,1,1,4,1
,65 to 74,26,0,24,0,2,0,0,0,0,0
,75 and over,21,0,21,0,0,0,0,0,0,0
S01000005,All people,643,14,553,3,35,20,6,12,45,35
,0 to 15,91,14,74,0,2,0,0,1,14,0
,16 to 19,17,0,15,0,2,0,0,0,0,2
,20 to 24,46,0,31,0,3,8,1,3,2,1
,25 to 34,121,0,94,2,20,2,1,2,14,23
,35 to 49,172,0,154,1,6,8,1,2,11,8
,50 to 64,141,0,130,0,2,2,3,4,2,1
,65 to 74,33,0,33,0,0,0,0,0,1,0
,75 and over,22,0,22,0,0,0,0,0,1,0
S01000006,All people,644,5,585,0,44,9,1,0,26,10
,0 to 15,95,5,81,0,9,0,0,0,1,2
,16 to 19,30,0,29,0,1,0,0,0,2,0
,20 to 24,34,0,31,0,1,1,1,0,7,0
,25 to 34,54,0,46,0,7,1,0,0,6,5
,35 to 49,140,0,121,0,13,6,0,0,5,3
,50 to 64,123,0,117,0,5,1,0,0,1,0
,65 to 74,74,0,73,0,1,0,0,0,0,0
,75 and over,94,0,87,0,7,0,0,0,4,0
S01000007,All people,751,2,708,0,21,10,0,10,26,21
,0 to 15,118,2,110,0,3,1,0,2,1,1
,16 to 19,51,0,49,0,1,0,0,1,1,3
,20 to 24,29,0,26,0,1,2,0,0,7,1
,25 to 34,39,0,32,0,3,3,0,1,8,3
,35 to 49,153,0,141,0,5,1,0,6,4,6
,50 to 64,172,0,164,0,5,3,0,0,4,4
,65 to 74,107,0,105,0,2,0,0,0,0,3
,75 and over,82,0,81,0,1,0,0,0,1,0
S01000008,All people,580,4,511,1,38,15,4,7,26,11
,0 to 15,101,4,83,0,10,3,0,1,5,3
,16 to 19,18,0,18,0,0,0,0,0,2,1
,20 to 24,27,0,21,0,5,1,0,0,2,0
,25 to 34,72,0,56,0,9,4,2,1,4,2
,35 to 49,130,0,115,0,5,5,2,3,7,3
,50 to 64,128,0,118,1,5,2,0,2,3,0
,65 to 74,45,0,43,0,2,0,0,0,1,0
,75 and over,59,0,57,0,2,0,0,0,2,2
S01000009,All people,681,7,614,4,41,10,1,4,33,22
,0 to 15,107,7,89,0,9,2,0,0,8,6
,16 to 19,32,0,29,1,0,1,0,1,2,1
,20 to 24,39,0,32,0,6,1,0,0,6,0
,25 to 34,65,0,53,0,10,0,1,1,8,7
,35 to 49,163,0,143,1,13,4,0,2,6,6
,50 to 64,163,0,159,2,1,1,0,0,1,2
,65 to 74,58,0,57,0,0,1,0,0,0,0
,75 and over,54,0,52,0,2,0,0,0,2,0
S01000010,All people,514,2,490,0,15,3,2,2,13,12
,0 to 15,45,2,42,0,1,0,0,0,1,0
,16 to 19,23,0,23,0,0,0,0,0,2,0
,20 to 24,39,0,34,0,3,2,0,0,3,2
,25 to 34,43,0,38,0,2,1,2,0,0,4
,35 to 49,114,0,111,0,3,0,0,0,5,1
,50 to 64,164,0,159,0,3,0,0,2,1,5
,65 to 74,60,0,57,0,3,0,0,0,1,0
,75 and over,26,0,26,0,0,0,0,0,0,0
S01000011,All people,"1,043",8,874,0,63,26,6,66,47,26
,0 to 15,234,8,184,0,12,7,1,22,6,0
,16 to 19,56,0,47,0,2,0,0,7,5,12
,20 to 24,45,0,33,0,3,2,1,6,7,4
,25 to 34,72,0,43,0,15,6,1,7,10,3
,35 to 49,233,0,194,0,17,5,1,16,7,3
,50 to 64,218,0,202,0,5,2,1,8,11,2
,65 to 74,85,0,84,0,0,1,0,0,0,2
,75 and over,100,0,87,0,9,3,1,0,1,0
S01000012,All people,"1,528",23,"1,346",2,100,26,13,18,67,55
,0 to 15,367,23,307,0,19,8,4,6,10,15
,16 to 19,66,0,57,0,5,2,0,2,1,2
,20 to 24,74,0,48,0,16,7,1,2,14,5
,25 to 34,214,0,170,2,29,6,3,4,21,15
,35 to 49,399,0,366,0,26,0,5,2,13,11
,50 to 64,254,0,244,0,5,3,0,2,6,7
,65 to 74,106,0,106,0,0,0,0,0,2,0
,75 and over,48,0,48,0,0,0,0,0,0,0
S01000013,All people,836,9,749,3,52,5,0,18,21,26
,0 to 15,140,9,115,1,9,0,0,6,5,9
,16 to 19,43,0,41,0,2,0,0,0,1,6
,20 to 24,37,0,28,0,6,2,0,1,5,0
,25 to 34,79,0,66,1,10,0,0,2,4,4
,35 to 49,177,0,157,0,13,0,0,7,5,6
,50 to 64,210,0,197,0,10,1,0,2,1,1
,65 to 74,94,0,89,1,2,2,0,0,0,0
,75 and over,56,0,56,0,0,0,0,0,0,0
S01000014,All people,881,1,806,5,39,21,6,3,40,29
,0 to 15,137,1,121,3,7,4,1,0,5,9
,16 to 19,48,0,46,0,1,1,0,0,4,1
,20 to 24,43,0,37,0,2,4,0,0,6,1
,25 to 34,104,0,81,0,16,1,5,1,11,10
,35 to 49,219,0,200,2,11,6,0,0,6,6
,50 to 64,229,0,221,0,2,4,0,2,4,2
,65 to 74,62,0,62,0,0,0,0,0,2,0
,75 and over,39,0,38,0,0,1,0,0,2,0
S01000015,All people,669,9,605,0,40,13,1,1,33,17
,0 to 15,120,9,106,0,4,1,0,0,6,3
,16 to 19,32,0,31,0,0,1,0,0,0,0
,20 to 24,44,0,31,0,10,3,0,0,8,5
,25 to 34,128,0,104,0,19,3,1,1,4,8
,35 to 49,197,0,186,0,6,5,0,0,10,0
,50 to 64,120,0,119,0,1,0,0,0,3,1
,65 to 74,22,0,22,0,0,0,0,0,1,0
,75 and over,6,0,6,0,0,0,0,0,1,0
S01000016,All people,540,6,469,0,14,9,3,39,9,9
,0 to 15,88,6,69,0,3,2,0,8,0,1
,16 to 19,41,0,32,0,0,2,0,7,1,2
,20 to 24,34,0,19,0,4,1,2,8,2,0
,25 to 34,56,0,46,0,1,0,1,8,4,4
,35 to 49,117,0,106,0,2,2,0,7,1,0
,50 to 64,117,0,111,0,4,1,0,1,0,2
,65 to 74,58,0,58,0,0,0,0,0,0,0
,75 and over,29,0,28,0,0,1,0,0,1,0
S01000017,All people,848,10,773,4,35,11,6,9,39,30
,0 to 15,110,10,92,1,2,4,0,1,5,5
,16 to 19,36,0,36,0,0,0,0,0,2,2
,20 to 24,55,0,48,0,6,0,1,0,6,3
,25 to 34,135,0,103,2,16,5,5,4,12,10
,35 to 49,174,0,163,1,6,1,0,3,7,5
,50 to 64,207,0,205,0,0,1,0,1,5,0
,65 to 74,83,0,81,0,2,0,0,0,0,1
,75 and over,48,0,45,0,3,0,0,0,2,4
S01000018,All people,520,11,472,0,25,7,0,5,19,10
,0 to 15,92,11,74,0,4,0,0,3,3,0
,16 to 19,21,0,19,0,0,2,0,0,1,0
,20 to 24,27,0,21,0,3,3,0,0,2,0
,25 to 34,70,0,62,0,6,2,0,0,2,7
,35 to 49,119,0,108,0,9,0,0,2,6,1
,50 to 64,128,0,125,0,3,0,0,0,4,2
,65 to 74,49,0,49,0,0,0,0,0,1,0
,75 and over,14,0,14,0,0,0,0,0,0,0
S01000019,All people,648,6,568,1,41,15,9,8,16,17
,0 to 15,119,6,100,0,2,3,4,4,5,0
,16 to 19,26,0,25,0,0,0,1,0,0,4
,20 to 24,18,0,16,1,0,0,1,0,1,4
,25 to 34,34,0,22,0,7,4,0,1,1,2
,35 to 49,136,0,125,0,5,1,2,3,7,5
,50 to 64,117,0,110,0,4,3,0,0,2,1
,65 to 74,86,0,80,0,4,2,0,0,0,0
,75 and over,112,0,90,0,19,2,1,0,0,1
S01000020,All people,914,5,775,1,52,24,7,50,34,29
,0 to 15,142,5,115,0,7,3,0,12,5,7
,16 to 19,40,0,31,0,2,4,0,3,6,0
,20 to 24,44,0,28,0,3,6,3,4,2,3
,25 to 34,78,0,45,1,12,7,1,12,8,5
,35 to 49,166,0,142,0,10,2,0,12,5,8
,50 to 64,202,0,187,0,7,0,2,6,4,2
,65 to 74,88,0,86,0,1,0,0,1,1,3
,75 and over,154,0,141,0,10,2,1,0,3,1
S01000021,All people,861,12,776,5,40,12,7,9,35,27
,0 to 15,120,12,97,1,6,1,3,0,5,9
,16 to 19,45,0,44,0,1,0,0,0,5,1
,20 to 24,55,0,47,1,4,3,0,0,5,4
,25 to 34,107,0,82,1,13,4,1,6,8,6
,35 to 49,211,0,188,2,14,3,1,3,3,5
,50 to 64,177,0,172,0,2,1,2,0,6,1
,65 to 74,74,0,74,0,0,0,0,0,0,1
,75 and over,72,0,72,0,0,0,0,0,3,0
S01000022,All people,627,1,571,0,20,13,2,20,21,15
,0 to 15,113,1,97,0,6,2,0,7,7,2
,16 to 19,36,0,34,0,0,0,0,2,0,3
,20 to 24,21,0,17,0,0,3,1,0,3,2
,25 to 34,38,0,27,0,5,4,1,1,1,4
,35 to 49,128,0,112,0,7,3,0,6,8,1
,50 to 64,165,0,159,0,1,1,0,4,2,2
,65 to 74,76,0,75,0,1,0,0,0,0,0
,75 and over,50,0,50,0,0,0,0,0,0,1
S01000023,All people,762,5,691,3,34,19,3,7,39,30
,0 to 15,193,5,165,1,12,8,0,2,14,0
,16 to 19,41,0,40,0,1,0,0,0,0,7
,20 to 24,30,0,23,0,3,2,0,2,5,6
,25 to 34,49,0,43,0,3,1,1,1,5,3
,35 to 49,174,0,150,2,12,7,1,2,10,8
,50 to 64,180,0,175,0,3,1,1,0,2,5
,65 to 74,63,0,63,0,0,0,0,0,2,0
,75 and over,32,0,32,0,0,0,0,0,1,1
S01000024,All people,519,8,447,2,21,7,8,26,23,26
,0 to 15,159,8,120,0,11,3,3,14,3,5
,16 to 19,35,0,33,0,0,0,1,1,2,5
,20 to 24,10,0,7,0,1,2,0,0,1,2
,25 to 34,18,0,14,0,2,1,0,1,7,6
,35 to 49,145,0,125,0,7,1,3,9,5,7
,50 to 64,103,0,101,0,0,0,1,1,0,0
,65 to 74,29,0,27,2,0,0,0,0,2,1
,75 and over,20,0,20,0,0,0,0,0,3,0
S01000025,All people,865,3,780,3,37,9,7,26,56,18
,0 to 15,190,3,160,2,16,3,3,3,13,4
,16 to 19,50,0,45,0,1,0,0,4,8,4
,20 to 24,55,0,43,0,2,1,0,9,5,4
,25 to 34,50,0,42,0,4,0,1,3,8,0
,35 to 49,177,0,153,1,12,5,3,3,15,4
,50 to 64,227,0,223,0,1,0,0,3,3,2
,65 to 74,66,0,65,0,0,0,0,1,4,0
,75 and over,50,0,49,0,1,0,0,0,0,0
S01000026,All people,849,8,762,2,57,12,2,6,53,19
,0 to 15,145,8,117,0,18,2,0,0,9,4
,16 to 19,36,0,30,0,3,1,0,2,0,0
,20 to 24,49,0,44,0,4,1,0,0,12,6
,25 to 34,126,0,108,1,13,2,0,2,10,3
,35 to 49,167,0,153,0,7,5,1,1,14,3
,50 to 64,166,0,157,0,7,1,0,1,1,1
,65 to 74,81,0,79,1,1,0,0,0,1,0
,75 and over,79,0,74,0,4,0,1,0,6,2
S01000027,All people,798,8,705,0,54,7,6,18,62,30
,0 to 15,148,8,121,0,13,0,1,5,16,5
,16 to 19,36,0,30,0,4,0,0,2,2,3
,20 to 24,33,0,29,0,3,1,0,0,12,3
,25 to 34,45,0,33,0,6,1,3,2,15,8
,35 to 49,173,0,145,0,16,3,1,8,9,3
,50 to 64,177,0,169,0,4,2,1,1,4,3
,65 to 74,102,0,97,0,5,0,0,0,2,4
,75 and over,84,0,81,0,3,0,0,0,2,1
S01000028,All people,919,7,821,0,80,6,2,3,49,23
,0 to 15,147,7,119,0,20,0,0,1,7,4
,16 to 19,51,0,48,0,3,0,0,0,4,1
,20 to 24,50,0,45,0,4,0,1,0,7,0
,25 to 34,136,0,96,0,35,3,0,2,16,7
,35 to 49,181,0,168,0,10,2,1,0,5,7
,50 to 64,171,0,163,0,7,1,0,0,3,4
,65 to 74,65,0,65,0,0,0,0,0,2,0
,75 and over,118,0,117,0,1,0,0,0,5,0
S01000029,All people,729,1,603,7,41,6,0,71,28,40
,0 to 15,224,1,170,4,15,1,0,33,8,5
,16 to 19,48,0,45,0,2,1,0,0,5,13
,20 to 24,30,0,24,0,4,1,0,1,2,6
,25 to 34,19,0,12,0,3,0,0,4,3,2
,35 to 49,212,0,165,3,13,2,0,29,8,9
,50 to 64,159,0,152,0,2,1,0,4,1,3
,65 to 74,29,0,27,0,2,0,0,0,1,0
,75 and over,8,0,8,0,0,0,0,0,0,2
S01000030,All people,449,3,401,1,37,5,0,2,29,9
,0 to 15,63,3,52,0,8,0,0,0,3,2
,16 to 19,22,0,18,0,4,0,0,0,1,1
,20 to 24,33,0,27,1,3,2,0,0,3,2
,25 to 34,59,0,42,0,15,1,0,1,6,3
,35 to 49,83,0,77,0,4,1,0,1,6,1
,50 to 64,88,0,85,0,2,1,0,0,4,0
,65 to 74,43,0,43,0,0,0,0,0,1,0
,75 and over,58,0,57,0,1,0,0,0,5,0
S01000031,All people,941,9,799,5,73,17,9,29,49,27
,0 to 15,175,9,136,1,17,4,1,7,7,3
,16 to 19,34,0,30,0,3,0,0,1,1,5
,20 to 24,46,0,33,1,4,6,0,2,7,1
,25 to 34,84,0,58,1,15,4,2,4,12,8
,35 to 49,198,0,165,1,16,2,4,10,12,6
,50 to 64,201,0,184,1,9,1,2,4,7,3
,65 to 74,92,0,90,0,2,0,0,0,1,1
,75 and over,111,0,103,0,7,0,0,1,2,0
S01000032,All people,"1,063",15,960,1,69,12,2,4,62,21
,0 to 15,177,15,144,0,17,1,0,0,5,4
,16 to 19,46,0,42,1,3,0,0,0,1,0
,20 to 24,62,0,47,0,11,3,0,1,5,2
,25 to 34,128,0,104,0,20,3,1,0,23,6
,35 to 49,210,0,196,0,12,2,0,0,5,7
,50 to 64,228,0,216,0,6,2,1,3,4,2
,65 to 74,98,0,97,0,0,1,0,0,1,0
,75 and over,114,0,114,0,0,0,0,0,18,0
S01000033,All people,802,16,711,4,47,14,1,9,40,23
,0 to 15,144,16,117,3,8,0,0,0,4,5
,16 to 19,27,0,26,0,0,1,0,0,6,3
,20 to 24,52,0,37,0,11,2,1,1,5,3
,25 to 34,136,0,107,1,14,6,0,8,12,7
,35 to 49,144,0,135,0,6,3,0,0,6,3
,50 to 64,120,0,115,0,3,2,0,0,4,1
,65 to 74,69,0,65,0,4,0,0,0,0,1
,75 and over,110,0,109,0,1,0,0,0,3,0
S01000034,All people,"1,238",22,"1,061",6,60,23,11,55,58,46
,0 to 15,287,22,215,2,17,6,1,24,10,4
,16 to 19,62,0,56,0,1,1,2,2,6,9
,20 to 24,46,0,40,0,0,2,4,0,12,6
,25 to 34,102,0,78,2,11,5,0,6,8,9
,35 to 49,316,0,260,0,24,7,2,23,15,14
,50 to 64,280,0,269,0,7,2,2,0,6,4
,65 to 74,91,0,90,1,0,0,0,0,0,0
,75 and over,54,0,53,1,0,0,0,0,1,0
S01000035,All people,"1,034",10,835,2,74,37,19,57,122,33
,0 to 15,158,10,135,0,7,2,0,4,9,4
,16 to 19,64,0,40,0,11,11,0,2,5,1
,20 to 24,132,0,73,0,24,12,12,11,45,11
,25 to 34,181,0,107,2,25,7,6,34,35,8
,35 to 49,169,0,156,0,3,4,0,6,20,6
,50 to 64,150,0,144,0,4,1,1,0,3,2
,65 to 74,109,0,109,0,0,0,0,0,2,1
,75 and over,71,0,71,0,0,0,0,0,3,0
S01000036,All people,683,7,575,0,61,19,0,21,32,11
,0 to 15,124,7,100,0,14,0,0,3,3,1
,16 to 19,37,0,33,0,3,0,0,1,0,0
,20 to 24,67,0,36,0,13,9,0,9,8,6
,25 to 34,82,0,58,0,14,5,0,5,8,2
,35 to 49,134,0,114,0,14,3,0,3,5,0
,50 to 64,124,0,119,0,3,2,0,0,1,1
,65 to 74,52,0,52,0,0,0,0,0,1,0
,75 and over,63,0,63,0,0,0,0,0,6,1
S01000037,All people,765,7,640,1,71,22,4,20,103,28
,0 to 15,95,7,74,0,7,0,0,7,15,3
,16 to 19,32,0,24,0,6,2,0,0,1,1
,20 to 24,52,0,35,0,8,6,2,1,18,3
,25 to 34,118,0,92,0,15,5,1,5,40,8
